[02-Apr-2019 07:50:09 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:50:09 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:50:09 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:50:10 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:50:10 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:51:25 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 23
[02-Apr-2019 07:51:25 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 23
[02-Apr-2019 07:51:25 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 23
[02-Apr-2019 07:51:29 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 23
[02-Apr-2019 07:51:31 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 23
[02-Apr-2019 07:51:31 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 23
[02-Apr-2019 07:51:31 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 23
[02-Apr-2019 07:51:31 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 23
[02-Apr-2019 07:51:31 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 23
[02-Apr-2019 07:51:31 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 23
[02-Apr-2019 07:51:32 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 23
[02-Apr-2019 07:51:32 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 23
[02-Apr-2019 07:53:21 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 23
[02-Apr-2019 07:53:21 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 23
[02-Apr-2019 07:53:21 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 23
[02-Apr-2019 07:53:34 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:53:35 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:53:35 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:54:20 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:54:21 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:54:21 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:54:21 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:54:54 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:54:54 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:54:54 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:59:37 UTC] PHP Notice:  Undefined variable: asssertions in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 08:03:02 UTC] PHP Notice:  Undefined variable: newResponse in C:\Users\admin\whs-service\src\routes.php on line 23
